.feature,sample,expression
Rrs1,GSM2545337,600
Rrs1,GSM2545338,505
Rrs1,GSM2545348,734
Rrs1,GSM2545353,849
Rrs1,GSM2545343,697
Rrs1,GSM2545349,753
Rrs1,GSM2545354,699
Rrs1,GSM2545336,886
Rrs1,GSM2545342,603
Rrs1,GSM2545351,820
Rrs1,GSM2545380,847
Rrs1,GSM2545341,514
Rrs1,GSM2545346,666
Rrs1,GSM2545347,671
1700034P13Rik,GSM2545337,3
1700034P13Rik,GSM2545338,3
1700034P13Rik,GSM2545348,2
1700034P13Rik,GSM2545353,6
1700034P13Rik,GSM2545343,9
1700034P13Rik,GSM2545349,7
1700034P13Rik,GSM2545354,7
1700034P13Rik,GSM2545336,1
1700034P13Rik,GSM2545342,4
1700034P13Rik,GSM2545351,2
1700034P13Rik,GSM2545380,3
1700034P13Rik,GSM2545341,5
1700034P13Rik,GSM2545346,1
1700034P13Rik,GSM2545347,1
Snhg6,GSM2545337,254
Snhg6,GSM2545338,232
Snhg6,GSM2545348,282
Snhg6,GSM2545353,333
Snhg6,GSM2545343,303
Snhg6,GSM2545349,235
Snhg6,GSM2545354,257
Snhg6,GSM2545336,356
Snhg6,GSM2545342,229
Snhg6,GSM2545351,271
Snhg6,GSM2545380,345
Snhg6,GSM2545341,245
Snhg6,GSM2545346,234
Snhg6,GSM2545347,300
LOC105243866,GSM2545337,26
LOC105243866,GSM2545338,27
LOC105243866,GSM2545348,13
LOC105243866,GSM2545353,23
LOC105243866,GSM2545343,24
LOC105243866,GSM2545349,31
LOC105243866,GSM2545354,17
LOC105243866,GSM2545336,24
LOC105243866,GSM2545342,19
LOC105243866,GSM2545351,20
LOC105243866,GSM2545380,31
LOC105243866,GSM2545341,18
LOC105243866,GSM2545346,29
LOC105243866,GSM2545347,15
Kcnq5,GSM2545337,144
Kcnq5,GSM2545338,106
Kcnq5,GSM2545348,157
Kcnq5,GSM2545353,136
Kcnq5,GSM2545343,148
Kcnq5,GSM2545349,120
Kcnq5,GSM2545354,103
Kcnq5,GSM2545336,217
Kcnq5,GSM2545342,134
Kcnq5,GSM2545351,199
Kcnq5,GSM2545380,136
Kcnq5,GSM2545341,82
Kcnq5,GSM2545346,157
Kcnq5,GSM2545347,107
Ogfrl1,GSM2545337,9589
Ogfrl1,GSM2545338,8916
Ogfrl1,GSM2545348,10258
Ogfrl1,GSM2545353,10862
Ogfrl1,GSM2545343,10242
Ogfrl1,GSM2545349,9998
Ogfrl1,GSM2545354,9564
Ogfrl1,GSM2545336,11066
Ogfrl1,GSM2545342,8390
Ogfrl1,GSM2545351,10456
Ogfrl1,GSM2545380,11514
Ogfrl1,GSM2545341,10054
Ogfrl1,GSM2545346,10219
Ogfrl1,GSM2545347,10330
Ptp4a1,GSM2545337,1556
Ptp4a1,GSM2545338,1509
Ptp4a1,GSM2545348,1741
Ptp4a1,GSM2545353,1614
Ptp4a1,GSM2545343,1896
Ptp4a1,GSM2545349,1624
Ptp4a1,GSM2545354,1626
Ptp4a1,GSM2545336,1395
Ptp4a1,GSM2545342,980
Ptp4a1,GSM2545351,1283
Ptp4a1,GSM2545380,1307
Ptp4a1,GSM2545341,933
Ptp4a1,GSM2545346,1133
Ptp4a1,GSM2545347,1219
Gm19680,GSM2545337,0
Gm19680,GSM2545338,1
Gm19680,GSM2545348,0
Gm19680,GSM2545353,0
Gm19680,GSM2545343,0
Gm19680,GSM2545349,1
Gm19680,GSM2545354,1
Gm19680,GSM2545336,1
Gm19680,GSM2545342,0
Gm19680,GSM2545351,3
Gm19680,GSM2545380,0
Gm19680,GSM2545341,0
Gm19680,GSM2545346,0
Gm19680,GSM2545347,1
Rab23,GSM2545337,1522
Rab23,GSM2545338,1415
Rab23,GSM2545348,1723
Rab23,GSM2545353,1843
Rab23,GSM2545343,1722
Rab23,GSM2545349,1558
Rab23,GSM2545354,1595
Rab23,GSM2545336,1662
Rab23,GSM2545342,1386
Rab23,GSM2545351,1616
Rab23,GSM2545380,1735
Rab23,GSM2545341,1353
Rab23,GSM2545346,1489
Rab23,GSM2545347,1463
LOC102634918,GSM2545337,14
LOC102634918,GSM2545338,15
LOC102634918,GSM2545348,14
LOC102634918,GSM2545353,6
LOC102634918,GSM2545343,12
LOC102634918,GSM2545349,11
LOC102634918,GSM2545354,8
LOC102634918,GSM2545336,12
LOC102634918,GSM2545342,12
LOC102634918,GSM2545351,10
LOC102634918,GSM2545380,10
LOC102634918,GSM2545341,10
LOC102634918,GSM2545346,3
LOC102634918,GSM2545347,11
Ccdc115,GSM2545337,556
Ccdc115,GSM2545338,572
Ccdc115,GSM2545348,706
Ccdc115,GSM2545353,800
Ccdc115,GSM2545343,749
Ccdc115,GSM2545349,700
Ccdc115,GSM2545354,690
Ccdc115,GSM2545336,878
Ccdc115,GSM2545342,656
Ccdc115,GSM2545351,784
Ccdc115,GSM2545380,1017
Ccdc115,GSM2545341,715
Ccdc115,GSM2545346,668
Ccdc115,GSM2545347,749
Cfc1,GSM2545337,2
Cfc1,GSM2545338,1
Cfc1,GSM2545348,6
Cfc1,GSM2545353,6
Cfc1,GSM2545343,5
Cfc1,GSM2545349,3
Cfc1,GSM2545354,1
Cfc1,GSM2545336,4
Cfc1,GSM2545342,3
Cfc1,GSM2545351,2
Cfc1,GSM2545380,7
Cfc1,GSM2545341,2
Cfc1,GSM2545346,1
Cfc1,GSM2545347,2
Gm32790,GSM2545337,28
Gm32790,GSM2545338,40
Gm32790,GSM2545348,20
Gm32790,GSM2545353,28
Gm32790,GSM2545343,33
Gm32790,GSM2545349,41
Gm32790,GSM2545354,30
Gm32790,GSM2545336,28
Gm32790,GSM2545342,21
Gm32790,GSM2545351,22
Gm32790,GSM2545380,23
Gm32790,GSM2545341,29
Gm32790,GSM2545346,18
Gm32790,GSM2545347,27
Inpp4a,GSM2545337,8989
Inpp4a,GSM2545338,8718
Inpp4a,GSM2545348,9327
Inpp4a,GSM2545353,9800
Inpp4a,GSM2545343,9586
Inpp4a,GSM2545349,9463
Inpp4a,GSM2545354,9189
Inpp4a,GSM2545336,8933
Inpp4a,GSM2545342,7586
Inpp4a,GSM2545351,8629
Inpp4a,GSM2545380,8878
Inpp4a,GSM2545341,8078
Inpp4a,GSM2545346,6950
Inpp4a,GSM2545347,7951
Mrpl30,GSM2545337,981
Mrpl30,GSM2545338,987
Mrpl30,GSM2545348,1231
Mrpl30,GSM2545353,1259
Mrpl30,GSM2545343,1375
Mrpl30,GSM2545349,1099
Mrpl30,GSM2545354,1052
Mrpl30,GSM2545336,1347
Mrpl30,GSM2545342,818
Mrpl30,GSM2545351,1201
Mrpl30,GSM2545380,1361
Mrpl30,GSM2545341,967
Mrpl30,GSM2545346,1137
Mrpl30,GSM2545347,1078
Txndc9,GSM2545337,1805
Txndc9,GSM2545338,1601
Txndc9,GSM2545348,1894
Txndc9,GSM2545353,2009
Txndc9,GSM2545343,2280
Txndc9,GSM2545349,1756
Txndc9,GSM2545354,1745
Txndc9,GSM2545336,2140
Txndc9,GSM2545342,1554
Txndc9,GSM2545351,1875
Txndc9,GSM2545380,2187
Txndc9,GSM2545341,1703
Txndc9,GSM2545346,1731
Txndc9,GSM2545347,1838
Gm35366,GSM2545337,2
Gm35366,GSM2545338,1
Gm35366,GSM2545348,1
Gm35366,GSM2545353,1
Gm35366,GSM2545343,2
Gm35366,GSM2545349,3
Gm35366,GSM2545354,3
Gm35366,GSM2545336,1
Gm35366,GSM2545342,1
Gm35366,GSM2545351,1
Gm35366,GSM2545380,3
Gm35366,GSM2545341,0
Gm35366,GSM2545346,1
Gm35366,GSM2545347,2
Rpl31,GSM2545337,2392
Rpl31,GSM2545338,2466
Rpl31,GSM2545348,2848
Rpl31,GSM2545353,3149
Rpl31,GSM2545343,3162
Rpl31,GSM2545349,2896
Rpl31,GSM2545354,2856
Rpl31,GSM2545336,3522
Rpl31,GSM2545342,2075
Rpl31,GSM2545351,2898
Rpl31,GSM2545380,3937
Rpl31,GSM2545341,2177
Rpl31,GSM2545346,2608
Rpl31,GSM2545347,3024
Gm35600,GSM2545337,0
Gm35600,GSM2545338,0
Gm35600,GSM2545348,0
Gm35600,GSM2545353,0
Gm35600,GSM2545343,0
Gm35600,GSM2545349,0
Gm35600,GSM2545354,0
Gm35600,GSM2545336,0
Gm35600,GSM2545342,2
Gm35600,GSM2545351,2
Gm35600,GSM2545380,1
Gm35600,GSM2545341,1
Gm35600,GSM2545346,0
Gm35600,GSM2545347,0
Mstn,GSM2545337,19
Mstn,GSM2545338,20
Mstn,GSM2545348,19
Mstn,GSM2545353,27
Mstn,GSM2545343,29
Mstn,GSM2545349,23
Mstn,GSM2545354,17
Mstn,GSM2545336,31
Mstn,GSM2545342,14
Mstn,GSM2545351,29
Mstn,GSM2545380,24
Mstn,GSM2545341,13
Mstn,GSM2545346,16
Mstn,GSM2545347,7
Mars2,GSM2545337,480
Mars2,GSM2545338,374
Mars2,GSM2545348,373
Mars2,GSM2545353,365
Mars2,GSM2545343,412
